,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
304,gondanglegi,-7.75,112.01,72.61,85,62,7.49,ID,1658856636
305,punta alta,-38.88,-62.07,53.91,91,99,10.16,AR,1658856636
306,springbok,-29.66,17.89,45.77,80,0,3.02,ZA,1658856637
307,moss vale,-34.55,150.38,44.15,82,15,10.87,AU,1658856637
308,fontem,5.47,9.88,66.67,97,96,0.78,CM,1658856638
309,erzin,36.96,36.2,77.4,66,0,3.91,TR,1658856638
310,yeniseysk,58.45,92.17,56.01,86,100,4.54,RU,1658856639
311,whitehorse,60.72,-135.05,66.97,55,75,18.41,CA,1658856639
312,nanortalik,60.14,-45.24,45.86,87,87,4.54,GL,1658856640
313,college,64.86,-147.8,53.55,64,75,13.8,US,1658856641
314,chapais,49.78,-74.85,60.58,92,100,9.66,CA,1658856641
315,chagoda,59.16,35.33,68.85,73,93,3.27,RU,1658856641
316,pontianak,-0.03,109.33,75.18,100,100,5.75,ID,1658856598
317,leh,34.17,77.58,64.83,60,90,3.96,IN,1658856643
318,dhidhdhoo,6.88,73.1,81.66,79,42,16.13,MV,1658856643
319,ilulissat,69.22,-51.1,48.22,87,75,3.44,GL,1658856643
320,methoni,36.82,21.7,84.06,70,0,6.04,GR,1658856644
321,sioux lookout,50.1,-91.92,60.87,100,75,6.91,CA,1658856400
322,cepu,-7.15,111.59,72.59,84,48,2.89,ID,1658856644
323,kodiak,57.79,-152.41,53.11,58,0,8.05,US,1658856433
324,bima,-8.47,118.72,71.15,92,32,4.54,ID,1658856645
325,huinan,42.62,126.26,67.73,90,10,3.8,CN,1658856645
326,inirida,3.87,-67.92,81.21,76,94,3.24,CO,1658856646
327,golubitskaya,45.32,37.28,72.01,71,34,5.32,RU,1658856646
328,khudumelapye,-23.88,24.75,64.08,34,6,5.5,BW,1658856647
329,san patricio,28.02,-97.52,94.06,44,53,16.44,US,1658856647
330,isangel,-19.55,169.27,73.22,88,87,13.85,VU,1658856647
331,ixtapa,20.7,-105.2,86.23,74,100,5.01,MX,1658856394
332,saint-augustin,51.23,-58.65,71.94,56,75,20.0,CA,1658856648
333,chokurdakh,70.63,147.92,43.45,69,100,10.49,RU,1658856649
334,ler,8.3,30.14,73.47,95,99,0.98,SS,1658856649
335,edd,13.93,41.69,90.79,67,91,6.87,ER,1658856650
336,tikhvin,59.65,33.53,71.22,70,96,3.83,RU,1658856650
337,kirakira,-10.45,161.92,78.71,84,84,6.24,SB,1658856650
338,tulum,20.22,-87.47,89.46,55,80,7.52,MX,1658856607
339,namtsy,62.72,129.67,61.84,70,14,2.82,RU,1658856651
340,dubbo,-32.25,148.62,39.33,87,40,6.91,AU,1658856652
341,bahia blanca,-38.72,-62.27,56.73,86,96,8.86,AR,1658856652
342,marzuq,14.4,46.47,85.75,41,89,6.4,YE,1658856652
343,hokitika,-42.72,170.97,46.56,80,67,5.26,NZ,1658856653
344,codrington,-38.27,141.97,51.87,91,69,12.62,AU,1658856372
345,sao jose da coroa grande,-8.9,-35.15,76.95,79,84,12.28,BR,1658856653
346,antofagasta,-23.65,-70.4,58.28,72,15,8.9,CL,1658856654
